date,color,city,description,start
5/20/18,FF6600,Bangkok,"Our first taste of Asia! Temples, wet season, pad thai, fried rice, and tuk tuks!",y
5/21/18,FF6600,Bangkok,"Our first taste of Asia! Temples, wet season, pad thai, fried rice, and tuk tuks!",
5/22/18,FF9F1C,Chaing Mai,"Took a night train from Bangkok to arrive here, the former capital of Thailand. The jungle-covered mountians were such an amazing view to wake up to in the morning. The Chaing Mai adventure included bathing elephants at an elephant sanctuary (p.s.a. Please do not ride elephants), finding a hidden temple with new friends from Holland, and cliff jumping at a local waterfall.",y
5/23/18,FF9F1C,Chaing Mai,"Took a night train from Bangkok to arrive here, the former capital of Thailand. The jungle-covered mountians were such an amazing view to wake up to in the morning. The Chaing Mai adventure included bathing elephants at an elephant sanctuary (p.s.a. Please do not ride elephants), finding a hidden temple with new friends from Holland, and cliff jumping at a local waterfall.",
5/24/18,FF9F1C,Chaing Mai,"Took a night train from Bangkok to arrive here, the former capital of Thailand. The jungle-covered mountians were such an amazing view to wake up to in the morning. The Chaing Mai adventure included bathing elephants at an elephant sanctuary (p.s.a. Please do not ride elephants), finding a hidden temple with new friends from Holland, and cliff jumping at a local waterfall.",
5/25/18,FF9F1C,Chaing Mai,"Took a night train from Bangkok to arrive here, the former capital of Thailand. The jungle-covered mountians were such an amazing view to wake up to in the morning. The Chaing Mai adventure included bathing elephants at an elephant sanctuary (p.s.a. Please do not ride elephants), finding a hidden temple with new friends from Holland, and cliff jumping at a local waterfall.",
5/26/18,FFBF69,Pai,"Someone once described Pai as a tropical island in the mountains. The description is spot on. Jungles, waterfalls, winding roads, palm trees, sunshine, mangoes galore. How much we loved our tropical pailand!",y
5/27/18,FFBF69,Pai,"Someone once described Pai as a tropical island in the mountains. The description is spot on. Jungles, waterfalls, winding roads, palm trees, sunshine, mangoes galore. How much we loved our tropical pailand!",
5/28/18,FFBF69,Pai,"Someone once described Pai as a tropical island in the mountains. The description is spot on. Jungles, waterfalls, winding roads, palm trees, sunshine, mangoes galore. How much we loved our tropical pailand!",
5/29/18,FFBF69,Pai,"Someone once described Pai as a tropical island in the mountains. The description is spot on. Jungles, waterfalls, winding roads, palm trees, sunshine, mangoes galore. How much we loved our tropical pailand!",
